bill_id,session,full_number,synopsis,reason
2006-A3524,2006,A3524,Renames New Jersey Merit Rating Plan and provides for changes in procedures for payment of outstanding surcharges. *,no include pattern matched
2006-A3602,2006,A3602,Renames Continental Airlines Arena the Continental Airlines - Brendan Byrne Arena.,no include pattern matched
2006-A3903,2006,A3903,"Renames the ""Temporary Disability Benefits Law"" as the ""Temporary Disability and Pregnancy Benefits Law.""",no include pattern matched
2006-A4254,2006,A4254,"Reorganizes and renames NJ Commerce, Economic Growth and Tourism Commission as NJ Commerce Commission; transfers Division of Travel and Tourism to Department of State.",excluded: renames_authority (administrative body rename)
2006-A4310,2006,A4310,"Renames ""Cigarette Sales Act"" as ""Tobacco Products Sales Act""; facilitates collection of taxes on non-face-to-face retail sales of tobacco products.",no include pattern matched
2006-S256,2006,S256,Revises membership of Executive Commission on Ethical Standards; renames commission; makes various other changes concerning ethics.,excluded: renames_authority (administrative body rename)
2006-S661,2006,S661,Renames Work First New Jersey program as Family Development Program and makes other revisions to program.,no include pattern matched
2006-S1404,2006,S1404,Renames the Primary Care Physician and Dentist Loan Redemption Program and makes various other changes to the program.,no include pattern matched
2006-S1959,2006,S1959,"Renames ""Open Public Meetings Act"" in honor of Senator Byron M. Baer.",no include pattern matched
2006-S2063,2006,S2063,"Renames ""Cigarette Sales Act"" as ""Tobacco Products Sales Act""; facilitates collection of taxes on non-face-to-face retail sales of tobacco products.",no include pattern matched
2006-S2331,2006,S2331,Renames New Jersey Rating Plan and provides for changes in procedures for payment of outstanding surcharges.,no include pattern matched
2006-S2452,2006,S2452,"Renames the ""Temporary Disability Benefits Law"" as the ""Temporary Disability and Pregnancy Benefits Law.""",no include pattern matched
2006-S2948,2006,S2948,"Reorganizes and renames NJ Commerce, Economic Growth and Tourism Commission as NJ Commerce Commission; transfers Division of Travel and Tourism to Department of State.",excluded: renames_authority (administrative body rename)
2008-A883,2008,A883,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2008-A1116,2008,A1116,"Allocates Amistad Commission in the DOE, designates Commissioner of Education as chair, authorizes commission to hire staff, decreases public members from eight to four, and provides commission with additional powers.",excluded: administrative_officer (administrative officer/body designation)
2008-A1448,2008,A1448,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2008-A3142,2008,A3142,Designates bison as agricultural livestock.,no include pattern matched
2008-A3305,2008,A3305,"Designates Harrison, South Amboy and Woodbridge as eligible municipalities under Transit Hub Tax Credit program.",no include pattern matched
2008-A3653,2008,A3653,Designates unmarried ex-spouse of marriage of 25 or more years as the widow or widower eligible for PFRS pension.,no include pattern matched
2008-AJR84,2008,AJR84,Designates Sunset Lake Hydrofest in Wildwood Crest as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2008-S437,2008,S437,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2008-S2597,2008,S2597,Designates bison as agricultural livestock.,no include pattern matched
2008-S2789,2008,S2789,"Allocates Amistad Commission in the DOE, designates Commissioner of Education as chair and Secretary of State as vice-chair, and requires DOE to serve as staff.",excluded: administrative_officer (administrative officer/body designation)
2008-S2839,2008,S2839,"Designates ""Made With Jersey Fresh"" baked goods and other food products.",no include pattern matched
2008-S2911,2008,S2911,Designates State Coordinator for Childhood Obesity Prevention and Awareness.,no include pattern matched
2008-SJR27,2008,SJR27,Designates Sunset Lake Hydrofest in Wildwood Crest as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2008-A341,2008,A341,Renames New Jersey Merit Rating Plan and provides for changes in procedures for payment of outstanding surcharges.,no include pattern matched
2008-A836,2008,A836,Renames the Primary Care Physician and Dentist Loan Redemption Program and makes various other changes to the program.,no include pattern matched
2008-A2011,2008,A2011,Authorizes transfer of the Atlantic City Convention Center project to the Atlantic City Convention and Visitors Authority and renames that authority.,excluded: renames_authority (administrative body rename)
2008-A3070,2008,A3070,"Revises certain restrictions on permit holders and provisional driver's licensees; renames provisional license ""probationary.""",no include pattern matched
2008-A3079,2008,A3079,Renames Work First New Jersey program as Family Development Program and makes other revisions to program.,no include pattern matched
2008-A3119,2008,A3119,"Renames ""Local Unit Alignment, Reorganization and Consolidation Commission"" as ""Karcher Commission""; requires commission to promulgate two consecutive plans for municipal consolidation; provides for enactment of municipal consolidation plans.",no include pattern matched
2008-A3499,2008,A3499,Renames Dept. of Agriculture as Dept. of Agriculture and Conservation; transfers certain agencies from other depts. to Dept. of Agriculture and Conservation; clarifies authority of Fish and Game Council.,no include pattern matched
2008-S16,2008,S16,"Revises certain restrictions on permit holders and provisional driver's licensees; renames provisional license ""probationary."" *",no include pattern matched
2008-S1220,2008,S1220,Renames the Primary Care Physician and Dentist Loan Redemption Program and makes various other changes to the program.,no include pattern matched
2008-S1393,2008,S1393,Authorizes transfer of the Atlantic City Convention Center project to the Atlantic City Convention and Visitors Authority and renames that authority.,excluded: renames_authority (administrative body rename)
2008-S2370,2008,S2370,Renames Dept. of Agriculture as Dept. of Agriculture and Conservation; transfers certain agencies from other depts. to Dept. of Agriculture and Conservation; clarifies authority of Fish and Game Council.,no include pattern matched
2010-A760,2010,A760,Designates bison as agricultural livestock.,no include pattern matched
2010-A1259,2010,A1259,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2010-A2523,2010,A2523,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2010-A3414,2010,A3414,Designates New Jersey Commuter Pass Credit Act; provides for temporary gross income tax credit for certain commuting passes.,no include pattern matched
2010-A4395,2010,A4395,"Designates the ""Honor and Remember Flag"" as an official State flag.",no include pattern matched
2010-S565,2010,S565,"Allocates Amistad Commission in the DOE, designates Commissioner of Education as chair and Secretary of State as vice-chair, and requires DOE to serve as staff.",excluded: administrative_officer (administrative officer/body designation)
2010-S702,2010,S702,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2010-S1767,2010,S1767,Designates production of electricity from certain resource recovery facilities as Class I renewable energy.,no include pattern matched
2010-S2468,2010,S2468,Designates New Jersey Commuter Pass Credit Act; provides for temporary gross income tax credit for certain commuting passes.,no include pattern matched
2010-S3017,2010,S3017,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2010-A157,2010,A157,Renames Dept. of Agriculture as Dept. of Agriculture and Conservation; transfers certain agencies from other depts. to Dept. of Agriculture and Conservation; clarifies authority of Fish and Game Council.,no include pattern matched
2010-A2987,2010,A2987,Renames the Division of Insurance Fraud Prevention as the Bureau of Fraud Deterrence in the Department of Banking and Insurance; modifies structure of Office of Insurance Fraud Prosecutor.,excluded: renames_authority (administrative body rename)
2010-A3006,2010,A3006,Renames the Division of Insurance Fraud Prevention as the Bureau of Fraud Deterrence in the Department of Banking and Insurance; modifies structure of Office of Insurance Fraud Prosecutor.,excluded: renames_authority (administrative body rename)
2010-A3310,2010,A3310,"Renames quail management area within Greenwood Forest Wildlife Management Area as ""Dr. A. Hunter Wilcox Field Trial Grounds.""",no include pattern matched
2010-A3730,2010,A3730,Temporarily renames NJ Advisory Council on Traumatic Brain Injury as NJ Advisory Council on Traumatic and Acquired Brain Injury; establishes Acquired Brain Injury Fund.,no include pattern matched
2010-S347,2010,S347,Renames Dept. of Agriculture as Dept. of Agriculture and Conservation; transfers certain agencies from other depts. to Dept. of Agriculture and Conservation; clarifies authority of Fish and Game Council.,no include pattern matched
2010-S2098,2010,S2098,Renames the Division of Insurance Fraud Prevention as the Bureau of Fraud Deterrence in the Department of Banking and Insurance; modifies structure of Office of Insurance Fraud Prosecutor.,excluded: renames_authority (administrative body rename)
2010-S2224,2010,S2224,"Renames quail management area within Greenwood Forest Wildlife Management Area as ""Dr. A. Hunter Wilcox Field Trial Grounds.""",no include pattern matched
2010-S2551,2010,S2551,Temporarily renames NJ Advisory Council on Traumatic Brain Injury as NJ Advisory Council on Traumatic and Acquired Brain Injury; establishes Acquired Brain Injury Fund.,no include pattern matched
2012-ACR159,2012,ACR159,Commemorates suffering endured by comfort women during forced internment in Japanese military camps.,no include pattern matched
2012-AR85,2012,AR85,Commemorates 13th presidential inauguration ceremony of Republic of China (Taiwan).,no include pattern matched
2012-SCR124,2012,SCR124,Commemorates suffering endured by comfort women during forced internment in Japanese military camps.,no include pattern matched
2012-A527,2012,A527,Designates bison as agricultural livestock.,no include pattern matched
2012-A708,2012,A708,Designates New Jersey Commuter Pass Credit Act; provides for temporary gross income tax credit for certain commuting passes.,no include pattern matched
2012-A1058,2012,A1058,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2012-A2029,2012,A2029,"Designates the ""Honor and Remember Flag"" as an official State flag.",no include pattern matched
2012-A2886,2012,A2886,Designates blueberry pie as the New Jersey Dessert.,no include pattern matched
2012-A3677,2012,A3677,Designates ephedrine and pseudoephedrine as Schedule III controlled dangerous substances.,no include pattern matched
2012-S283,2012,S283,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary.",no include pattern matched
2012-S1960,2012,S1960,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2012-S2007,2012,S2007,"Designates the ""Honor and Remember Flag"" as an official State flag.",no include pattern matched
